,dayofweek,home_team,home_xg,score,away_xg,away_team
143,Jue,Cruz Azul,1.2,1–0,1.1,León
144,Sáb,Querétaro,0.7,0–0,0.6,UANL
145,Vie,Puebla,1.6,1–1,1.4,UNAM
146,Vie,Atlas,0.9,1–2,1.7,Atlético
147,Dom,Toluca,0.3,1–3,2.3,Guadalajara
148,Sáb,América,0.9,1–2,1.3,Santos
149,Sáb,Monterrey,2.7,1–1,1.3,Veracruz
150,Sáb,Necaxa,1.3,1–2,2.7,Pachuca
151,Dom,FC Juárez,2.3,3–0,1.3,Tijuana
152,Dom,León,0.5,1–1,1.5,Morelia
153,Sáb,Atlético,1.7,0–2,2.6,Necaxa
154,Vie,Morelia,1.4,3–2,1.0,Puebla
155,Vie,Tijuana,0.6,0–4,3.7,Monterrey
156,Vie,Veracruz,0.5,0–5,3.4,América
157,Dom,UNAM,3.5,1–1,0.8,FC Juárez
158,Sáb,UANL,0.9,0–0,1.3,Pachuca
159,Sáb,León,2.2,4–0,0.5,Toluca
160,Sáb,Guadalajara,1.0,3–2,2.1,Querétaro
161,Dom,Santos,1.5,3–1,0.5,Cruz Azul
162,Sáb,Querétaro,3.1,3–1,0.9,Morelia
163,Vie,Puebla,1.3,3–0,1.3,Necaxa
164,Vie,Tijuana,2.2,1–2,1.3,León
165,Dom,Toluca,0.8,2–2,1.2,Santos
166,Sáb,Monterrey,1.8,2–0,1.0,Atlas
167,Sáb,Cruz Azul,0.6,3–1,0.1,Atlético
168,Sáb,Guadalajara,0.8,3–1,1.0,Veracruz
169,Sáb,Pachuca,2.2,2–0,0.9,UNAM
170,Dom,FC Juárez,1.1,1–2,0.8,UANL
171,Mié,Morelia,0.9,3–3,1.6,León
172,Mié,Necaxa,2.1,3–0,1.0,Querétaro
173,Jue,Monterrey,1.9,5–2,2.2,Santos
174,Jue,América,1.3,1–2,0.9,UANL
175,Sáb,León,2.0,1–2,0.9,Morelia
176,Sáb,Querétaro,1.6,2–3,0.8,Necaxa
177,Dom,Santos,2.0,1–1,1.1,Monterrey
178,Dom,UANL,2.5,2–4,2.5,América
179,Mié,Monterrey,2.4,2–1,0.4,Necaxa
180,Jue,Morelia,1.9,2–0,1.2,América
181,Sáb,Necaxa,0.8,0–1,1.0,Monterrey
182,Dom,América,1.5,2–0,0.6,Morelia
183,Jue,Monterrey,1.1,2–1,0.7,América
184,Dom,América,1.7,(2) 2–1 (4),1.6,Monterrey
185,Sáb,Cruz Azul,1.1,1–2,1.0,Atlas
186,Vie,Tijuana,1.0,2–1,0.9,Santos
187,Vie,Morelia,0.7,0–1,0.7,Toluca
188,Dom,UNAM,1.0,2–1,2.3,Pachuca
189,Sáb,León,2.3,3–1,0.8,Querétaro
190,Sáb,Guadalajara,1.3,2–0,0.1,FC Juárez
191,Sáb,UANL,0.6,0–0,0.2,Atlético
192,Jue,FC Juárez,2.5,4–4,1.2,UNAM
193,Sáb,Monterrey,2.8,2–2,0.8,Morelia
194,Vie,Atlético,1.2,2–1,0.4,Cruz Azul
195,Vie,Atlas,1.2,0–1,0.3,Puebla
196,Dom,Toluca,0.8,2–3,2.2,Necaxa
197,Dom,Querétaro,2.3,3–0,0.3,Tijuana
198,Sáb,Pachuca,1.4,0–0,0.4,Guadalajara
199,Sáb,América,1.3,1–0,0.5,UANL
200,Dom,Santos,2.9,3–2,2.1,León
201,Sáb,Cruz Azul,2.3,3–0,0.6,Santos
202,Vie,Tijuana,0.8,0–0,0.3,América
203,Vie,Puebla,0.5,0–1,1.5,Querétaro
204,Dom,UNAM,2.1,1–0,0.7,Monterrey
205,Dom,Necaxa,0.5,1–1,1.6,Atlético
206,Sáb,UANL,0.7,2–1,2.2,Atlas
207,Sáb,León,1.9,3–0,0.9,Pachuca
208,Sáb,Guadalajara,1.4,2–2,1.6,Toluca
209,Dom,FC Juárez,3.4,3–0,0.7,Morelia
210,Sáb,Necaxa,1.6,2–0,1.0,Puebla
211,Sáb,Monterrey,1.2,1–2,0.8,Querétaro
212,Sáb,Morelia,2.4,1–2,2.0,León
213,Vie,Atlético,2.6,2–2,1.7,Guadalajara
214,Vie,Atlas,0.4,2–1,1.3,Tijuana
215,Dom,Toluca,1.3,3–3,2.2,Cruz Azul
216,Sáb,Pachuca,1.8,2–0,0.6,UANL
217,Sáb,América,1.9,1–3,3.1,FC Juárez
218,Sáb,Santos,3.1,1–1,0.3,UNAM
